level,experiences,experiencesToNextLevel
,,
int,int,int
1,0,1000
2,1000,1050
3,2050,1100
4,3150,1150
5,4300,1200
6,5500,1250
7,6750,1300
8,8050,1350
9,9400,1450
10,10850,1550
11,12400,1650
12,14050,1750
13,15800,1850
14,17650,2000
15,19650,2150
16,21800,2300
17,24100,2450
18,26550,2600
19,29150,2750
20,31900,2950
21,34850,3150
22,38000,3350
23,41350,3550
24,44900,3750
25,48650,4000
26,52650,4250
27,56900,4500
28,61400,4750
29,66150,5050
30,71200,5350
31,76550,5650
32,82200,5950
33,88150,6250
34,94400,6600
35,101000,6950
36,107950,7300
37,115250,7650
38,122900,8000
39,130900,8350
40,139250,8700
41,147950,9050
42,157000,9400
43,166400,9750
44,176150,10100
45,186250,10450
46,196700,10800
47,207500,11150
48,218650,11500
49,230150,19850
50,250000,10400
51,260400,10800
52,271200,11200
53,282400,11600
54,294000,12000
55,306000,12400
56,318400,12800
57,331200,13200
58,344400,13600
59,358000,14000
60,372000,14500
61,386500,15000
62,401500,15500
63,417000,16000
64,433000,16500
65,449500,17000
66,466500,17500
67,484000,18000
68,502000,18500
69,520500,19000
70,539500,19550
71,559050,20100
72,579150,20650
73,599800,21200
74,621000,21750
75,642750,22300
76,665050,22850
77,687900,23400
78,711300,23950
79,735250,24500
80,759750,25100
81,784850,25700
82,810550,26300
83,836850,26900
84,863750,27500
85,891250,28100
86,919350,28700
87,948050,29300
88,977350,29900
89,1007250,30550
90,1037800,31200
91,1069000,31850
92,1100850,32600
93,1133450,33300
94,1166750,34050
95,1200800,34800
96,1235600,35550
97,1271150,36300
98,1307450,37050
99,1344500,55500
100,1400000,35500
