chapter,clueId,themeColor,themeColorDark,textColor,background,textColorDark,backgroundDark
,,,,,,
number,number,string,string?,string,string,string,string
1,0,#25ade7,,#00527b,#d9faff,#45c3fe,#001c32
1,1,#c30c7c,,#8d0055,#ffd0e6,#ff7dc2,#37001d
1,2,#2da14f,,#005e10,#d7ffde,#63d07b,#002200
1,3,#e5862b,,#773500,#fff2de,#fb9b44,#2e0c00
1,4,#ff1a18,,#960000,#fff1ec,#ff8a7a,#3c0000
2,0,#e5862b,,#773500,#fff2de,#fb9b44,#2e0c00
2,1,#25ade7,,#00527b,#d9faff,#45c3fe,#001c32
2,2,#2da14f,,#005e10,#d7ffde,#63d07b,#002200
2,3,#c30c7c,,#8d0055,#ffd0e6,#ff7dc2,#37001d
2,4,var(--invert-card-background),,var(--card-background),var(--invert-card-background),var(--card-background),var(--invert-card-background)
3,0,#c30c7c,,#8d0055,#ffd0e6,#ff7dc2,#37001d
3,1,#25ade7,,#00527b,#d9faff,#45c3fe,#001c32
3,2,#2da14f,,#005e10,#d7ffde,#63d07b,#002200
3,3,#e5862b,,#773500,#fff2de,#fb9b44,#2e0c00
3,4,#ff1a18,,white,#ff1a18,white,#ff1a18
