chapter,page,phrase,phraseOrig
,,,
number,number,string?,string
0,0,,ここにあった町は土くれに帰し、ここに生きた人々はもういない。
0,0,,ただ朽ちた城だけが、深く暗い森の中、静かに在る。
0,0,,
0,0,,かつてここには銀の鉱山があった。
0,0,,銀を巡って争いは絶えず、数多の命がこの地で露と化した。
0,0,,「赤の力」を持つ伯爵が現れるまでは――
0,0,,
0,0,,彼の地に立つ城を訪れるものは見るだろう。
0,0,,この地を統べ、刹那の繁栄をもたらした伯爵の肖像を。
0,0,,
0,0,,物言わぬ肖像はしかし、時として見る者の心を動かす旋律を響かせるという。
0,0,,肖像に塗り込められた伯爵の妄執が人の聴覚を惑わすのか。
0,0,,あるいは己の内奥に潜む深層心理が反響しているだけなのか。
0,0,,
0,0,,旋律は甘美にして激しく、草木を揺らし天に届くと伝えられている。
0,0,,しかしそれを聞くことが叶うのは、いにしえの寓話を読み解いた者のみ――
0,0,,かつてこの古城に住まいし伯爵の物語。伯爵と関わる人々の物語。
0,0,,そこにあるのは悲劇か喜劇か、あるいはその両方か。
0,0,,城の中に遺された寓話の断片をつなぎ合わせることができれば、封じられた旋律は蘇る。
0,0,,
0,0,,今、目の前に城門がそびえ立つ。
0,0,,
0,0,,いにしえの旋律を求めし者よ、暗き城に入りあかりを灯せ。
0,0,,あかりは、長き時の流れに埋もれ掠れた寓話の行く末を照らす。
0,0,,そして寓話の真実を知った者は――旋律を得る。
0,0,,
0,0,,幻の旋律を。
0,0,,禁じられた旋律を。
1,0,,"分厚く重い木製の扉がノックされる音に気づき、${""text"":""ヴェルデ伯爵"",""annotation"":0}$は入室を許した。"
1,0,,「紅茶をお持ちしました！ぼんの少し、冷めているかも知れませんが」
1,0,,「うむ、いただこうか」
1,0,,執事のクリスがティーカップに紅茶を注ぐ。伯爵はひと口飲むとこう言った。
1,0,,「いつも通り上手く紅茶を淹れてくれるものだ」
1,0,,"これは${""text"":""７"",""clueId"":0}$年続いているクリスの日課で、特に${""text"":""オーダー"",""clueId"":0}$を受けずとも決まった時間になれば紅茶を淹れることになっている。そこには１分１秒の狂いもない."
1,0,,「それはよかったです。５回もノックしましたのに、伯爵がお気づきにならなかったのて.その分冷めてしまうかと恐れていたのですが」
1,0,,クリスはうやうやしく辞儀をし、伯爵の書斎から退出した
1,0,,残された伯爵は眉間にしわを刻みながら煩悶している。
1,0,,4回目までノックに気づかなかったのもそのせいだ。
1,0,,「どうすればよいのか……」
1,0,,つい最近、ウェルデ伯爵の領国に豊富な埋蔵量を誇る銀鉱山が発見された。
1,0,,採掘権を巡り、銀商人どもが私兵団を編成し、兵士の命を手駒にした陣取り合戦を繰り返している。
1,0,,伯爵家にも騎士団はいたが代々平穏に通ごしていたので数も少なく、名ばかりのものであった。
1,0,,屈強な傭兵で編成された私兵団を抑えることなど、できようはずもない。
1,0,,どうすれば再び領国を安寧させられるのか。
1,0,,ヴェルデ伯爵の悩みはこれに尽き、そして解決策を見つけることがてきずにいる。
1,0,,その時、伯爵の脳裏に声が響いた。
1,0,,"{""text"":""「力を制する力が欲しくは　城の地下に来い」"",""highlight"":true}"
1,1,,幻聴か。しかし憔悴していた伯爵は、まるで憑かれたように居城の地下室へと降りてゆく。
1,1,,するとそこには――
1,1,,人としてはあまりに均整が取れすぎた容貌の何者かが、微笑みを浮かべつつ立っていた。
1,1,,"{""text"":""伯爵"",""annotation"":0}$はこのような者を見たことがない。どうやって城に入ったのか見当も付かない。"
1,1,,男にも見えるし女にも見える。若者に見えるが若者には持ち得ない落ち着きも感じる。
1,1,,"{""text"":""「我と契約せよ。力を与えてやる」"",""highlight"":true}"
1,1,,得体の知れない存在である。代償も不要という。信ずるに値する点などひとつもない、怪しげな契約である。
1,1,,しかし――伯爵は即座に了承した。
1,1,,眼前に立つ者の言葉と立ち居振る舞いに吸い込まれたのか、
1,1,,あるいは領国に安寧をもたらしたい一心で、藁にもすがる思いで契約を受け入れたのか、その両方なのか。
1,1,,"{""text"":""「契約は成った。この力、汝の思うままに使うかよい」"",""highlight"":true}"
1,1,,そう言い残し、どこの誰ともわからぬ人物は煙のように薄れて消えた。
1,1,,それと入れ替わるように、伯爵の左手の薬指に、まるで指輪のようなアザが浮かび上がった。
1,1,,"アザを見た伯爵は意識を失い、次に目覚めるとそこは${""text"":""翌朝"",""clueId"":1}$の寝室だった。"
1,1,,妙に頭が冴えている。
1,2,,戦いで荒れた領国をどう処するか、
1,2,,答えの出ない問いに幾日幾月も悩み続けていたというのに、今はなぜかすべてが解決できるような……
1,2,,"いや、既に解決したかのような確信が、${""text"":""伯爵"",""annotation"":0}$の意識を満たしている。"
1,2,,全く理屈の通らぬ自覚たが、伯爵はそれを疑問に感じることはなく、むしろ己が全身からあふれ出すような“力”を感じていた。そして、昨夜の契約を鮮明に想起した。左手の薬指を見ると、指輪のようなアザがある。
1,2,,やはり――夢では無かったのか。
1,2,,
1,2,,"「伯爵！大変です！」"
1,2,,"寝室に飛び込んできた若者は伯爵の従兄弟、${""text"":""ラインハルト子爵"",""annotation"":1}$であった。"
1,2,,「銀商人の争いが拡大し、城下町まで戦場になっています。このままでは領民が！」
1,2,,ウェルデ伯爵の政務を常々補佐しているラインハルトは、事態を急とみて寝室にまで駆け込んだのであろう。
1,2,,しかし伯爵は落ち着き払った様子で、こう言った。
1,2,,「騎士団を集めよ。それらを伴い暴虐の者ともを平定する」
1,2,,ラインハルトは絶句した。自分と伯爵を合わせても１０人に満たない手勢である。
1,2,,私兵団を相手に出来るとは思えない。しかし伯爵に迷いはなく、その目に呑まれたラインハルトは戦支度を整えた。
1,2,,城門は開かれ、ウェルデ伯爵を先頭に１０人足らずの者たちがゆっくりと馬を進める。
1,2,,"伯爵家に仕える${""text"":""5人の楽士"",""clueId"":2}$が高らかに金管楽器を吹き鳴らし、戦場に赴く伯爵たちを送る。"
1,2,,それは出陣の旋律たが、葬送の旋律にも似て。
1,3,,"奇跡が起きた。争い合う２つの私兵団、その両方を、すべてを、${""text"":""伯爵"",""annotation"":0}$が消し去った。"
1,3,,
1,3,,伯爵はただ、多くの死闘と混乱に包まれた戦場に踏み入っただけである。
1,3,,たったそれだけて、周囲にいる傭兵どもが紅蓮の炎に包まれ、瞬時に燃え尽き黒い灰と化した。
1,3,,伯爵は城下町を平定したその足で森の奥にある鉱山に向かい、そのまますべての私兵団を焼き尽くした。
1,3,,"大地は黒いで覆われ、戦を怖れ逃げ${""text"":""隠れていた"",""clueId"":3}$リスや小鳥などの${""text"":""小動物"",""clueId"":3}$が、森に還ってきた。"
1,3,,
1,3,,"これが契約で得た力――「${""text"":""赤の力"",""annotation"":5}$」であった。"
1,4,,鉱山から城下町に戻ったウェルデ伯爵とラインハルトを町の人々は喝采で迎えた。
1,4,,"不毛な争いをわすか一日で終結させた${""text"":""ふたりは、まさに英雄"",""clueId"":4}$であった。"
1,4,,凱旋の喧噪、そこに一際目を引く美しき女性がいた。
1,4,,女性はじっと伯爵を見つめていた。伯爵も、足を止めてその女性を見ていた。
1,4,,
1,4,,"その女性の名は${""text"":""クラウディア"",""annotation"":3}$。ほどなくして、伯爵夫人となる女性。"
2,0,,領国に穏やかな日々が戻った。
2,0,,"争を指揮していた商人どもは、${""text"":""ヴェルデ伯爵"",""annotation"":0}$の「${""text"":""赤の力"",""annotation"":5}$」がすべての傭兵を灰と化したことを知った。逆らう気すら起きぬ通常の力――彼らは二度とこの地に近寄らないであろう。争いの火種であった銀鉱山は、伯爵家が直轄することとなった。"
2,0,,これによりおのずと領国は豊かになった。代々領民をいたわる伯爵家である。例に漏れずヴェルデ伯爵も
2,0,,銀鉱山が生み出す富を私欲には利用しない。領国の繁栄と貧者の救済に充て続け、３年の歳月が過ぎていく。
2,0,,その結果、領民のみならず隣国の衆にまでヴェルデ伯爵は名君であるとの誉れは響き渡り、確たる名声が築き上げられた。
