id,title,titleOrig,relatedMusicUid,relatedMusicId,comment,commentOrig,isRare
,,,,,,,
int,string,string?,string,int,string,string,boolean
0,CODE:1,,5k01,707,,"スライドオブジェクトが特徴的でカッコイイ楽曲だよね～！
HEXAさんって一体何者！？",FALSE
1,Ghost Hunters,,5k02,708,,"うんててっててっー、ててっ！ギターの音がやっぱりいいよね！
ぼくもあんな風にギター弾けたら気持ちいいだろうな～",FALSE
2,ヴェニスの慕情,,5k03,709,,"この曲を遊ぶとヴェニス行きたくなっちゃう！
ぼくをヴェニスに連れて行ってくれる人いないかな～？",FALSE
3,Palma Lunae,,5k04,710,,Akhutaさんの不思議なメロディーが、ぼくを遠いところへ連れて行ってくれるよ～,FALSE
4,幻影ノ消失,,5k05,711,,"たま～に幻影をみちゃうんだよね～。無いはずのモンブランとかいないはずのクリスピーさんとか…？
あ、クリスピーさんはいつも一緒にいるから幻影じゃないか！",FALSE
5,雪月夜,,5k06,712,,Ryu☆さんの☆が今回は＊だったの、みんな気づいてたかな～？？,FALSE
6,Follow the path,,5k07,713,,sotaさんのシンセってクリアでかっこいいよね～！ぼくも弾けるようになりたいな～?,FALSE
7,私をディスコに連れてって TOKYO,,5k08,714,,ちょっと前まで「CLUB」じゃなくて、「ディスコ」って言ってたんだよね～！,FALSE
8,神よ、ニャンコを与えたまえ！,,5k10,715,,ULTIMATE SURVIVALで一番人気のあった楽曲だよ～！ニャンニャン！,FALSE
9,Raving Fantasy,,5k11,716,,テンションアゲアゲで、ぼく、どこまでもいける感じがしたよ！カモンッ！,FALSE
10,Storm Buster,,5k12,717,,"ULTIMATE SURVIVALで大人気だったこの楽曲、ノリノリって、この曲のためにあるって感じだよね～！
頭フリフリおしりフリフリして踊っちゃおう～！",FALSE
11,Viden,,5k13,718,,とっても神秘的な曲だよね～。ふか～い闇に吸い込まれそうな気持ちになっちゃうよ～,FALSE
12,God bless you,,5k14,719,,と～ってもカッコいい曲だよね！曲名の通り、みんなに幸あれ～?,FALSE
13,SERVI,,5k15,720,,"曲名を直前で変えちゃったんだって～！前の曲名はジャケットの目がヒントらしいんだけど教えてくれないんだよね～。
5年がかりで仕上げた大作だって言ってたけど、ほんとかな～！？",FALSE
14,True Blue [DJ Command Mix],,5k16,721,,"TAKAさんの名曲がさらにテンションアゲアゲになって、ぼくもテンションアゲアゲだよ！
あ、TOTTOさんとからあげを一緒に食べたくなってきたなぁ",FALSE
15,XiNX,,5k17,722,,"cosMoさんのメロディーと96さんのギターがマッチして、とっても楽しい曲だね～?
明るい気分になってきたよ！",FALSE
16,Sapphire,,5k18,723,,"深いエコーみたいなのがとっても気持ちいいんだ～。きれいな光が見えるような曲だね！
ぼくこの曲遊ぶとウキウキしちゃう！",FALSE
17,JUST AFTER DARK -零-,,5k19,724,,"ぼく、じつは暗いところが苦手なんだよね～。
え、知ってるって！？どこで知ったの～？",FALSE
18,いただき! 桃色ゾンビにあん,,5k20,725,,ゾンビさんって怖いイメージがあるけど、桃色のゾンビさんならお友達になれそうな気がするよ！,FALSE
19,リフレクラジカル,,5k21,726,,"りふれ、くらじかる？？って読んじゃった。りふれく、らじかるだからね～！
みんな間違えないでね～！！",FALSE
20,Jungle Jungle,,5k22,727,,"ジャングルに行けば、ぼくもわいるどになれるかなぁ？
名付けてわいるどパステルくん！えへへ～かっこいいでしょ！？",FALSE
21,Crazy Jackpot,,5k23,762,,"曲中のきれいなボイスはmayumi morinagaさんだってみんな知ってたかな～？
Crazy crazy jackpot！",FALSE
22,アイリス,,5k24,763,,みてみて～、ぼくのアイリスはどんな色かなぁ～？,FALSE
23,DixieLand a la mode,,5k25,764,,"アラモード！おいしいの！？
え？違うの…(;o;)",FALSE
24,Get Future,,5k26,765,,"未来があるから今を大事にするんだよね！
あれ、今ぼくなんかかっこいいこと言ったかな～？",FALSE
25,F/E/D/R(I Don't Care),,5k27,766,,"F/E/D/Rってなにかの略なのかなぁ？
フライドポテト/エクレア/どら焼き/ラーメン？おなかすいてきちゃった！",FALSE
26,Hastur,,5k28,767,,ブイブイ低音の効いたカッコいい曲だよね～！ブイブイブイブイ～！,FALSE
27,I Am No One,,5k29,768,,"おなかに響く重低音がたまらないよね！
なんだかおなかが空いてきたな～",FALSE
28,MOON DUST,,5k30,769,,お月様の月屑は、少し寂しげに舞い落ちるんだね～,FALSE
29,SEITEN NO TERIYAKI,,5k31,770,,照り焼きっておいしいよね！みんなは食べたことある～？,FALSE
30,RAIN,,5k32,728,,雨の日ってなんだか切ない気持ちで一杯になるんだ～。みんなも心当たりないかな～？,FALSE
31,THE LYCANTHROPE,,5k33,729,,"ガオーッ！おおかみ男だぞ～！！
な～んちゃって☆びっくりした？",FALSE
32,NIRVANA,,5k34,730,,"いつものあさきさんとちょっと違う感じの曲だね！
Hello Asaki-San！みたいな☆",FALSE
