questId,chapter,questType,questName,questNameOrig,element
,,,
int,int,story=1|hunting|challenge,string,string?,fire|aqua|wood|light|dark
0,0,story,Land of the Reflesia,リフレシアの大地,fire
1,0,story,Praying for travel,旅の祈願,aqua
2,0,story,Searching for tresures,財宝を探して,wood
3,0,story,The first trial,最初の試練,fire
4,0,story,Beast in hidden place,秘境の獣,fire
5,0,story,Ancient seals,古代の封印,aqua
6,0,story,Wind that never stops,止まない風,wood
7,0,story,The wanted,お尋ね者,aqua
8,0,story,Premonition,予感,fire
9,0,story,Determination,覚悟,aqua
10,0,story,Relation,絆,wood
11,0,story,Emblem of the moon,月の紋章,wood
31,1,story,Brand new adventure,新たな冒険,fire
32,1,story,Gathering clues,手掛かりを求めて,aqua
33,1,story,Maniacs' hideout,狂団のアジト,wood
34,1,story,Ceremony of gravity,重力の儀式,fire
35,1,story,Mastermind,黒幕,fire
36,1,story,Northward,北へ,aqua
37,1,story,Raid,進撃,wood
38,1,story,Monster of frost,極凍の魔獣,aqua
39,1,story,Fight in the hellfire,炎獄の死闘,fire
40,1,story,Duel on the lake,湖上の決戦,aqua
41,1,story,Battle above the tree,大樹の戦い,wood
42,1,story,Hope,希望,dark
48,2,story,The Reflesia of Eternity,悠久のリフレシア,light
12,-1,hunting,Longing for the future,未来への憧れ,fire
13,-1,hunting,Across time...,時を越えて…,wood
14,-1,hunting,Maiden on board,船上の乙女,aqua
15,-1,hunting,Merry Christmas,,fire
16,-1,hunting,Place one's want to return to,戻りたい場所,wood
17,-1,hunting,Happy new year,謹賀新年,aqua
18,-1,hunting,The 6th KAC Group A,The 6th KAC グループ A,light
19,-1,hunting,The 6th KAC Group B,The 6th KAC グループ B,light
20,-1,hunting,The 6th KAC Group C,The 6th KAC グループ C,light
21,-1,hunting,The 6th KAC Group D,The 6th KAC グループ D,light
22,-1,hunting,Feast for warriors,戦士たちの宴,light
23,-1,hunting,Awaken your instincts,本能を呼び醒ます,fire
24,-1,hunting,The Six Atonements of Setrios,セトリオスの6の赦罪,dark
25,-1,hunting,The silver harp,白銀の竪琴,dark
26,-1,hunting,The awakening of dragon,翼龍の目覚め,aqua
27,-1,hunting,The beginning of despair,絶望の始まり,dark
28,-1,hunting,The third peak,第三の頂,aqua
29,-1,hunting,The first peak,原初の頂,aqua
30,-1,hunting,The last hope,最期の望み,aqua
44,-1,hunting,colette fishing,コレットフィッシング,aqua
45,-1,hunting,The fallen angel,堕ちた天使,dark,FLASE
46,-1,hunting,Unfulfilled wish,叶わぬ思い,light,FLASE
47,-1,hunting,Beach side record,砂浜のレコード,fire,FLASE
50,-1,hunting,I only Divide Me,,light
51,-1,hunting,Field that must be protected,守るべき大地,wood
52,-1,hunting,1 minute 40 seconds,1分40秒,aqua
53,-1,hunting,The secret beat,秘めたるBeat,fire
54,-1,hunting,make it clear,,aqua
55,-1,hunting,Queen of the Beasts,百獣の女王,wood
56,-1,hunting,Memory of chaplets,花冠の記憶,fire
57,-1,hunting,Shadow of sun,太陽の陰影,aqua
58,-1,hunting,Emperor of darkness,漆黒の魔皇帝,fire
59,-1,hunting,C₆H₆,,wood
43,-1,challenge,Tower of lament,嘆きの塔,dark
49,-1,challenge,Tower of ruin,破滅の塔,dark
