questId,dungeonId,questType,value,endTime,rankingId,musicId0,musicId1,musicId2,chartType0,chartType1,chartType2
,,,,,,,,,,,
int,int,int,int,number,int,int,int,int,none=-1|basic|medium|hard|whiteHard,none=-1|basic|medium|hard|whiteHard,none=-1|basic|medium|hard|whiteHard
22,47,3,1,2147483647,0,33,22,52,hard,hard,hard
22,47,3,1,2147483647,1,189,310,219,hard,whiteHard,whiteHard
22,47,3,1,2147483647,2,724,840,733,hard,hard,whiteHard
22,47,3,1,2147483647,3,575,438,448,hard,whiteHard,whiteHard
22,47,3,1,2147483647,4,94,129,163,hard,whiteHard,whiteHard
22,47,3,1,2147483647,5,161,41,335,hard,whiteHard,hard
22,47,3,1,2147483647,6,51,614,408,hard,hard,hard
22,47,3,1,2147483647,7,652,648,650,hard,hard,hard
22,47,3,1,2147483647,8,322,661,890,hard,hard,whiteHard
22,47,3,1,2147483647,9,861,876,880,hard,hard,whiteHard
22,47,3,1,2147483647,10,360,144,363,hard,whiteHard,hard
22,47,3,1,2147483647,11,854,93,208,hard,whiteHard,whiteHard
22,47,3,1,2147483647,12,734,17,355,hard,whiteHard,hard
22,47,3,1,2147483647,13,830,905,906,hard,hard,hard
22,47,3,1,2147483647,14,774,605,465,hard,hard,hard
22,47,3,1,2147483647,15,317,321,257,hard,hard,hard
22,47,3,1,2147483647,16,588,30,37,hard,hard,hard
22,47,3,1,2147483647,17,575,62,773,hard,hard,whiteHard
22,47,3,1,2147483647,18,58,712,9,hard,hard,whiteHard
22,47,3,1,2147483647,19,697,758,781,hard,whiteHard,whiteHard
22,47,3,1,2147483647,20,698,787,921,hard,hard,whiteHard
22,47,3,1,2147483647,21,567,21,675,hard,whiteHard,whiteHard
22,47,3,1,2147483647,22,866,510,865,hard,hard,whiteHard
22,47,3,1,2147483647,23,709,308,872,hard,hard,hard
22,47,3,1,2147483647,24,38,260,391,hard,hard,hard
22,47,3,1,2147483647,25,36,131,359,whiteHard,whiteHard,hard
22,47,3,1,2147483647,26,441,553,550,hard,hard,hard
22,47,3,1,2147483647,27,881,873,884,hard,hard,whiteHard
22,47,3,1,2147483647,28,130,449,800,whiteHard,hard,whiteHard
22,47,3,1,2147483647,29,512,514,513,hard,hard,hard
22,47,3,1,2147483647,30,710,393,451,hard,hard,whiteHard
22,47,3,1,2147483647,31,845,847,849,whiteHard,whiteHard,whiteHard
22,47,3,1,2147483647,32,926,929,927,hard,hard,whiteHard
22,47,3,1,2147483647,33,25,153,101,hard,whiteHard,whiteHard
22,47,3,1,2147483647,34,388,386,390,hard,whiteHard,whiteHard
22,47,3,1,2147483647,35,59,63,48,hard,whiteHard,whiteHard
