version,musicId,chartType,level,skillRate,maxCombo,maxKeepCount,maxJustReflec,chartVersion
,,,,(rb VOLZZA 2/rb Reflesia),,(rb Reflesia),,"if there were any modification to a chart at a game version, best score of the chart shouldn't be shared between games before and after"
int,int,basic|medium|hard|special|whitehard=3,int,int,int,int,int,int
6,6,basic,5,19,148,12,6,6
6,6,medium,8,32,304,28,10,6
6,6,hard,10,47,397,66,12,6
6,6,whitehard,11,52,438,64,14,6
6,9,basic,6,24,253,38,8,6
6,9,medium,10,46,421,20,11,6
6,9,hard,12,60,605,54,16,6
6,9,whitehard,13,70,801,141,19,6
6,12,basic,6,22,195,51,6,6
6,12,medium,8,32,326,77,9,6
6,12,hard,10,44,414,94,12,6
6,13,basic,2,7,135,41,0,6
6,13,medium,7,29,284,45,9,6
6,13,hard,9,39,412,102,12,6
6,13,whitehard,10,45,451,106,13,6
6,14,basic,3,11,194,47,0,6
6,14,medium,7,29,292,70,8,6
6,14,hard,10,41,385,80,11,6
6,15,basic,3,11,135,29,0,6
6,15,medium,7,29,238,60,8,6
6,15,hard,9,38,307,44,10,6
6,15,whitehard,11,49,437,88,13,6
6,16,basic,7,29,377,44,13,6
6,16,medium,10,44,409,30,14,6
6,16,hard,12,60,565,81,14,6
6,16,whitehard,13,71,848,190,19,6
6,17,basic,4,13,208,75,0,6
6,17,medium,7,29,273,73,9,6
6,17,hard,10,42,354,72,10,6
6,17,whitehard,12,59,749,320,12,6
6,18,basic,4,13,181,51,0,6
6,18,medium,7,29,247,57,9,6
6,18,hard,9,39,408,125,10,6
6,20,basic,4,13,152,56,0,6
6,20,medium,8,32,270,53,7,6
6,20,hard,10,43,429,60,14,6
6,21,basic,5,16,140,12,5,6
6,21,medium,8,34,286,24,10,6
6,21,hard,10,45,430,34,15,6
6,21,whitehard,12,59,678,34,18,6
6,22,basic,6,25,216,37,8,6
6,22,medium,10,43,295,27,10,6
6,22,hard,12,57,430,32,15,6
6,22,whitehard,13,66,712,119,17,6
6,23,basic,6,25,271,66,8,6
6,23,medium,8,33,375,120,9,6
6,23,hard,10,47,523,176,12,6
6,24,basic,4,13,162,0,0,6
6,24,medium,8,34,298,0,11,6
6,24,hard,11,51,434,72,14,6
6,25,basic,7,27,316,51,10,6
6,25,medium,10,42,406,58,13,6
6,25,hard,12,63,741,136,17,6
6,25,whitehard,13,67,888,142,21,6
6,26,basic,6,24,236,54,7,6
6,26,medium,8,33,373,83,11,6
6,26,hard,11,49,530,111,12,6
6,26,whitehard,12,59,809,188,18,6
6,27,basic,6,23,237,51,8,6
6,27,medium,9,38,307,28,10,6
6,27,hard,11,49,463,67,15,6
6,27,whitehard,12,62,681,73,18,6
6,30,basic,7,30,335,101,8,6
6,30,medium,10,46,464,93,14,6
6,30,hard,13,68,759,156,17,6
6,30,whitehard,15,81,784,124,19,6
6,31,basic,6,22,248,70,8,6
6,31,medium,9,39,355,72,10,6
6,31,hard,11,53,518,108,12,6
6,31,whitehard,12,61,664,121,16,6
6,33,basic,6,23,208,15,9,6
6,33,medium,9,38,381,26,13,6
6,33,hard,11,52,449,17,12,6
6,33,whitehard,12,60,571,54,15,6
6,35,basic,6,24,293,41,9,6
6,35,medium,9,37,399,80,12,6
6,35,hard,11,51,563,150,12,6
6,36,basic,4,15,359,86,0,6
6,36,medium,9,38,442,116,12,6
6,36,hard,10,47,549,164,15,6
6,36,whitehard,11,54,715,221,14,6
6,37,basic,7,28,300,98,7,6
6,37,medium,9,38,470,127,13,6
6,37,hard,13,69,825,195,18,6
6,37,whitehard,15,87,1198,275,27,6
6,38,basic,7,26,338,73,10,6
6,38,medium,10,44,539,176,14,6
6,38,hard,14,74,1027,354,19,6
6,38,whitehard,15,86,1200,240,28,6
6,39,basic,3,9,147,26,0,6
6,39,medium,7,27,222,47,8,6
6,39,hard,9,38,319,61,9,6
6,39,whitehard,11,52,761,131,18,6
6,41,basic,4,15,171,20,0,6
6,41,medium,8,32,334,51,10,6
6,41,hard,10,46,472,67,11,6
6,41,whitehard,12,57,590,79,14,6
6,43,basic,2,5,110,21,0,6
6,43,medium,6,24,198,31,8,6
6,43,hard,8,34,422,85,13,6
6,43,whitehard,11,51,678,102,16,6
6,45,basic,6,22,216,40,8,6
6,45,medium,8,33,376,45,12,6
6,45,hard,10,45,562,101,13,6
6,45,whitehard,12,57,772,113,19,6
6,46,basic,7,26,361,178,8,6
6,46,medium,10,44,617,224,15,6
6,46,hard,11,54,828,359,13,6
6,47,basic,3,11,171,20,0,6
6,47,medium,8,31,296,32,10,6
6,47,hard,10,42,448,35,11,6
6,48,basic,7,28,352,124,8,6
6,48,medium,10,47,444,130,12,6
